"","(Intercept)","instructor_id"
"1",0.381706691505985,"1"
"6",-0.474520614033799,"6"
"7",0.715463454421171,"7"
"8",-0.594566645913797,"8"
"12",0.262080579610759,"12"
"13",0.385513990363667,"13"
"14",0.356882885045726,"14"
"15",-0.373460873295892,"15"
"17",0.419331811908656,"17"
"18",-0.148491732502727,"18"
"19",0.651264635865218,"19"
"20",0.913931590723095,"20"
"24",-0.520421898045035,"24"
"25",0.485345684005309,"25"
"26",-0.231475928601685,"26"
"27",-0.255419027568321,"27"
"31",-0.956502931968297,"31"
"34",0.0898611661628111,"34"
"36",0.31589094600129,"36"
"37",0.480842092736272,"37"
"41",-0.0188563304691086,"41"
"42",-0.225633088410833,"42"
"45",0.4721636068623,"45"
"47",0.229102885155544,"47"
"48",-0.862607024481687,"48"
"51",0.00245536153287347,"51"
"52",-0.722726877545234,"52"
"53",-0.595445052477697,"53"
"55",-0.0919532489333214,"55"
"56",-0.19579132084471,"56"
"57",-0.446924826302551,"57"
"58",-0.372610509448963,"58"
"61",0.780847517773477,"61"
"63",0.309696009499353,"63"
"64",0.301915451508865,"64"
"65",-0.239497653978801,"65"
"66",1.0417639604898,"66"
"67",0.235978133691898,"67"
"69",-0.215057570148224,"69"
"70",0.217196574490728,"70"
"71",0.38230616887064,"71"
"72",-0.639104968237274,"72"
"73",0.0963517163365985,"73"
"79",0.977813744814444,"79"
"82",0.482388488223103,"82"
"84",-0.545226788108342,"84"
"90",0.336621141979476,"90"
"92",-1.2596927356634,"92"
"93",0.448044127916559,"93"
"95",-0.793713794143852,"95"
"96",-0.39494820496685,"96"
"97",-0.0871441378417458,"97"
"98",-0.99080868237112,"98"
"99",-0.102064713917632,"99"
"100",-0.47297500717682,"100"
"102",-0.893524356222541,"102"
"109",-0.600500451196333,"109"
"110",0.495166171237042,"110"
"111",-0.0296411811972862,"111"
"112",0.40313233976172,"112"
"114",-0.691678566968271,"114"
"115",0.0781058614702327,"115"
"117",0.192129175690007,"117"
"118",0.784599219003321,"118"
"119",0.262830619305694,"119"
"122",0.717620853811864,"122"
"125",-0.224503598792309,"125"
"126",0.320562230004247,"126"
"128",0.598531510918349,"128"
"129",-0.336680540410107,"129"
"132",-0.782310559537826,"132"
"135",-1.14041888054865,"135"
"137",-0.422337393963574,"137"
"139",-0.304477878796557,"139"
"140",-0.15966005539484,"140"
"143",0.44822131468489,"143"
"144",0.291980295697306,"144"
"145",0.880319479986629,"145"
"146",0.230116675645313,"146"
"147",0.123194634826207,"147"
"150",-0.415092644929128,"150"
"151",-0.365959620054846,"151"
"152",-0.0609376244013167,"152"
"155",-0.0705939245306839,"155"
"156",0.385735812940922,"156"
"157",0.359484985785154,"157"
"158",-0.363408235737485,"158"
"163",0.277794931620522,"163"
"164",-0.759144303289286,"164"
"171",-0.166622002122732,"171"
"177",0.343863984672513,"177"
"178",0.442708626699459,"178"
"179",-0.0666307955868829,"179"
"182",0.466175448119284,"182"
"183",0.109510416846203,"183"
"187",0.0400608339972321,"187"
"188",-0.402630416314682,"188"
"193",1.11467005475947,"193"
"195",-0.730918357157887,"195"
"196",0.0176298946439951,"196"
"197",0.437213391419945,"197"
"199",0.259277250576295,"199"
"202",-0.13590510824204,"202"
"203",-0.924678051775424,"203"
"204",0.0552550004962766,"204"
"205",-0.318233640209647,"205"
"206",0.1584466236905,"206"
"214",-0.583605515241494,"214"
"216",0.281400118584248,"216"
"217",-0.236914956003205,"217"
"218",-0.146160939646258,"218"
"220",0.103396193708732,"220"
"223",-0.717570819384101,"223"
"224",-0.126029005671687,"224"
"228",0.594767102078334,"228"
"229",-0.198696199546635,"229"
"230",0.605665785756194,"230"
"231",0.675343337032685,"231"
"233",0.410485605893177,"233"
"236",-0.181115776678738,"236"
"238",-0.326524995345771,"238"
"240",0.951485162503054,"240"
"245",-0.459945920958528,"245"
"246",0.188697474224703,"246"
"248",-0.581850245990517,"248"
"249",-0.902601053907384,"249"
"250",0.686944735812393,"250"
"251",0.505510223874206,"251"
"252",0.674234574230061,"252"
"258",-1.27320352922493,"258"
"259",0.0650683703041042,"259"
"260",0.40290468694689,"260"
"262",-0.388622694224537,"262"
"264",0.0885391920975888,"264"
"265",-0.450385486094303,"265"
"269",0.193996817188006,"269"
"272",0.241466587002986,"272"
"273",-1.1688964823506,"273"
"275",0.199906048318953,"275"
"280",-0.647179380836981,"280"
"281",0.120238072632988,"281"
"283",0.59565147580607,"283"
"284",0.541576277340883,"284"
"285",0.670077179789427,"285"
"287",0.86887606627968,"287"
"291",-0.414668327686863,"291"
"293",-0.00840802425533862,"293"
"294",-0.265667561661092,"294"
"295",0.584683571181903,"295"
"296",0.366333609575303,"296"
"297",-0.206318819873805,"297"
"298",0.315907853422537,"298"
"299",0.73309705978198,"299"
"301",-0.220864938436669,"301"
"304",-0.599262796690775,"304"
"305",-1.19751913398662,"305"
"307",0.921819597736719,"307"
"309",0.253532638610107,"309"
"313",0.0342920415004987,"313"
"314",0.346963895363137,"314"
"316",0.196932535931734,"316"
"317",-0.229280901537227,"317"
"319",-0.502481886167217,"319"
"320",0.23882259932161,"320"
"321",-0.132670110171171,"321"
"323",0.779925340574376,"323"
"324",0.336272971105192,"324"
"326",0.157772688655177,"326"
"327",0.206559685649075,"327"
"328",0.351434929359649,"328"
